emg0,emg1,emg2,emg3,emg4,emg5,emg6,emg7,Thumb_Proximal,Thumb_Intermediate,Thumb_Distal,Index_Proximal,Index_Intermediate,Index_Distal,Middle_Proximal,Middle_Intermediate,Middle_Distal,Ring_Proximal,Ring_Intermediate,Ring_Distal,Pinky_Proximal,Pinky_Intermediate,Pinky_Distal
113,81,48,28,25,25,84,129,nan,2.026514626239416,15.097382476889416,11.375373326616272,9.7339730863320071,7.3214942289400966,14.04896528766232,10.229213359724323,7.6816679711620628,13.717033884779465,11.150851706321983,8.2862596223144305,24.262381661707753,10.863965270102176,8.2474063702706299
106,77,49,28,25,27,93,137,nan,1.7220759639299374,14.989557899189281,11.644284979131521,9.5876278607643446,7.2002550717305782,14.619995583771862,10.055912392304954,7.5226359497141679,14.150793695783548,11.033675155377948,8.1784244303352569,24.455412604378818,10.705755915753645,8.1082161926183201
94,79,50,30,27,29,94,132,nan,1.7157011446766752,14.997474046241951,11.722055380296885,9.5438403722447465,7.1640322019818701,14.665360446311437,10.041326548289041,7.5094099718621932,14.202823655224677,11.011971438346469,8.1597551933686514,24.496380623193666,10.681648334683869,8.0872524340667429
92,70,48,31,28,26,76,110,nan,1.7143272048801821,14.99075355896399,11.785096719683573,9.5040734534813414,7.1313647869037906,14.711493776167304,10.020794928344898,7.4920113486534143,14.27995712372771,10.996924082451134,8.1447960000927235,24.540833551462587,10.662105621899151,8.0694644592040223
87,67,45,28,27,27,75,103,nan,1.7269198426734964,14.918797130878124,11.885718831800904,9.4653010844641017,7.0980491563212214,14.798920043140827,9.9737419248294419,7.4527730637639493,14.314910838026737,10.98570830363667,8.1348663501321123,24.580291098302929,10.641908389018402,8.0512351138384997
71,64,42,28,26,26,73,112,nan,1.7452997712133207,14.863859240187104,12.012422729570785,9.4010584929733856,7.0444778051149548,14.97879188980909,9.8574859373726742,7.3578305744798405,14.43536522372211,10.931272865303988,8.0888807643259604,24.627946790414708,10.610679948737769,8.0242296406425559
84,70,45,32,26,26,73,114,nan,1.7548815076402342,14.861855991612998,12.068071251109069,9.3647025709511293,7.015053109998612,15.070877492875765,9.8016189093773409,7.3122206005566133,14.506763651859593,10.904590515840798,8.065766343598213,24.642296099646828,10.592437050838866,8.0092742749199743
104,74,45,34,24,28,87,127,nan,1.7615764339857816,14.861098926935062,12.160394715709405,9.3167740598531843,6.9753690812686342,15.178710161452331,9.7663872733294781,7.2808884724494938,14.583196149380354,10.887980009631704,8.0497909045256844,24.653076911637225,10.574823320179087,7.994843011148312
109,79,46,33,22,27,89,131,nan,1.8157687054701084,14.906705562365918,12.399589111204621,9.2183032176432764,6.8916049629314609,15.428955734690428,9.6992192251120493,7.2190352005687179,14.736000961197714,10.833963833674186,8.00305393468056,24.716330610416758,10.519076277820757,7.9480960211011009
115,82,45,32,23,27,91,140,nan,1.9011170840900358,14.921731497750693,12.48690776339604,9.1814896668508137,6.8603189764585411,15.52650660500055,9.6883732534742411,7.2065150292237998,14.855285742396442,10.800719936360817,7.9727487517636488,24.743509651012896,10.491529824972377,7.9249494087526928
122,95,49,34,25,28,93,142,nan,1.9531226705387372,14.997103930205485,12.577607902175528,9.1434220643135102,6.8280825039133006,15.612628785988317,9.6500570681286781,7.1739682796189834,14.953098109146373,10.763678309371587,7.9405808440928958,24.780215529010039,10.453673753218373,7.8930987463044806
111,91,48,33,27,25,88,131,nan,1.9714766511142401,15.03421937158528,12.695752524110588,9.1133028672348519,6.8005406571356,15.688296477920458,9.6170338067305785,7.1460423599244995,15.110067313355049,10.716221700193245,7.897952478054501,24.816379366046995,10.413352197815739,7.859745920803114
93,88,45,32,28,24,74,124,nan,1.991321953525127,15.077137285269323,12.803719388092691,9.0812539646910224,6.7719162111331626,15.752087204991458,9.5867578499851778,7.1205506798423706,15.176397214555916,10.683283922468059,7.8705019633981852,24.842749720892694,10.370756981542282,7.8251513036869706
82,83,44,33,27,26,84,141,nan,2.0145536570065721,15.096592508920711,12.871882372243629,9.0507357720728745,6.7463067074893859,15.791833165391418,9.5690608771584547,7.1053921771980892,15.204088580820494,10.665726809955931,7.8562315141588064,24.86135756665578,10.339841845371268,7.8002196917858582
77,82,47,36,28,31,89,141,nan,1.9904141952078629,15.060674955585496,12.931718006168618,9.0199463900064973,6.7210932502518821,15.813480682569608,9.5538417264075957,7.0931091232437051,15.219320110115632,10.653604488428211,7.8465895494968985,24.886165347824537,10.30925524687091,7.7751208378691441
70,71,46,36,28,31,88,135,nan,1.9409377652510456,14.992282845157469,12.990404260472557,8.9821203840520187,6.6904436664309905,15.834454737960224,9.5476099826848362,7.0875322851583773,15.237781110355803,10.637017650713631,7.8334067229343489,24.94044022031596,10.254134224680504,7.7293787845518498
75,72,43,37,27,32,84,136,nan,1.9325363085338545,15.000056647771482,12.993115801274596,8.9785999845561726,6.6877552984754036,15.848642029716741,9.5473916728757633,7.0865671587487569,15.238407950515231,10.635843431402479,7.8325522573434467,24.953225414020093,10.238036940964863,7.716224079327791
74,72,44,36,24,32,89,137,nan,1.916905126479503,15.012742558358237,12.995454270298517,8.9760631573515948,6.6856278406981984,15.8505009989276,9.5457434544587922,7.0853127006716097,15.240090976395498,10.633203861884619,7.830463650571196,24.967718433623126,10.221392190906743,7.7025752568748578
77,72,47,37,26,32,83,127,nan,1.9071637652247229,15.018331121396535,13.005993748887908,8.9714122272342731,6.6817549393007782,15.861579845663472,9.5451002315931142,7.0842423463260076,15.24188871903158,10.631988113838563,7.8295796475314363,24.973138100131596,10.213717146167715,7.696365406314329
86,82,51,39,25,28,97,156,nan,1.8899505032421109,15.021620580736519,13.020938076380503,8.9712871941571883,6.681125798566427,15.863165575555254,9.5438038689731783,7.0833706679875084,15.240973199283825,10.632316229686902,7.8298712203930982,24.980126661990109,10.206771773010164,7.6905968926647388
86,72,48,38,22,31,108,166,nan,1.8706866771590085,15.02522722233301,13.041743751291609,8.9759684653789069,6.6835594274028587,15.859234508651646,9.5454363141964702,7.0847383300826099,15.240907240048601,10.63248028026117,7.8300001079891661,24.984397196599165,10.202707638494871,7.6873513118319474
