emg0,emg1,emg2,emg3,emg4,emg5,emg6,emg7,Thumb_Proximal,Thumb_Intermediate,Thumb_Distal,Index_Proximal,Index_Intermediate,Index_Distal,Middle_Proximal,Middle_Intermediate,Middle_Distal,Ring_Proximal,Ring_Intermediate,Ring_Distal,Pinky_Proximal,Pinky_Intermediate,Pinky_Distal
333,169,159,255,98,48,115,283,nan,1.260060963258792,6.391769351937068,9.2768188342379325,8.7484006375134413,6.6454496011308386,11.358898216703562,8.0313990418213859,6.6386335335583455,9.0501618149208038,10.084300986840679,8.3977782023855738,25.104537027890938,8.8215625243408571,7.4042787807651695
308,139,131,252,102,58,96,254,nan,0.92317775658234258,9.4712730444155007,2.9255042000147276,6.9967695629252473,5.6093439225975583,15.983491376918359,6.7168844695829657,5.8004374810491157,14.872648235868644,7.7943375086147721,6.7349123246180582,27.611250388164795,8.4090179866082675,7.1099486473964726
209,121,113,237,96,59,88,235,nan,0.89097307602843556,9.8325843503523735,3.5175755061146448,6.8616069823251049,5.5537595056418247,17.009952262486685,6.5607232305507104,5.7059991893907229,16.086957496685557,7.4814920360319652,6.5092254792702677,27.868304346776608,8.4165498020593379,7.1269492417707481
208,96,79,176,88,61,79,225,nan,1.0003201333870628,11.209297950168088,5.7608227221514827,6.6815037456485165,5.5000517787763004,19.398292891981534,6.0921762514020452,5.3772259040422812,18.436696241973184,7.209437698763538,6.3580357581727069,28.375436150382793,8.453546378799091,7.1883991373377194
222,102,74,150,79,66,76,220,nan,1.0249941024170621,11.647860123492848,7.0129691429221781,6.6368891087659323,5.5077155530929351,20.750121905204622,5.8806485712662893,5.2320935043781045,19.39176395938772,7.1642041597810469,6.3533137502146566,28.610873433518151,8.5085069679739984,7.2524745859106057
217,112,72,123,82,65,79,218,nan,1.0782984428256488,11.993979827680278,8.2418677247436936,6.5986799980652933,5.5171433473917215,21.929030145481722,5.6267332375193408,5.03998625711065,20.207162560570218,7.2330006307301487,6.4452508700320115,28.817407686083733,8.5849905661724133,7.3336527477246012
221,121,81,112,77,60,81,219,nan,1.1755457138429186,12.486688686129144,11.675585742554748,6.3718357789377968,5.4295566337641876,23.766216786061552,5.3762078308517482,4.8679100582593993,22.245862809342285,7.4776904076656772,6.7388015925097582,29.272791617878042,8.8826458150328449,7.631213837851285
199,118,84,114,78,58,89,226,nan,1.2545051175203814,13.100646467388794,13.539790546170002,6.2448907252398556,5.3753728196177297,25.310245250462781,5.2505392340662196,4.7945294116383179,22.555427290812254,7.6382172435739211,6.8955656919446175,29.443471326634519,9.0849838104743661,7.8243459110492584
191,126,85,122,72,54,91,233,nan,1.5262010010169527,13.688502316504298,15.610630043855283,6.1186184888572432,5.3249639405953557,26.70333384069448,5.6403974681257996,5.1967384840695967,22.759661374665029,7.7599077685360278,7.0132016593329984,29.499832378038562,9.2385919875301177,7.9650427447785335
180,121,82,110,69,50,100,238,nan,2.0329656118038981,14.251628872714569,17.38007221123015,6.0122340228427138,5.2814742924514331,28.103870940142514,5.6574147800839647,5.2500227647326545,22.864883068798303,7.9203002647082723,7.1624396334311324,29.514498766103124,9.3007659752218963,8.0209630775978127
205,142,85,115,65,49,109,224,nan,2.19851559494239,14.569663563275581,18.811936555346058,6.069110437373511,5.3736758239333602,29.248171580898465,5.5751215405251129,5.2021043129877826,22.936396651420115,8.2999241950868203,7.507342446871772,29.530848754189446,9.4815781739239089,8.1806325978473833
184,138,75,112,66,56,125,185,nan,2.3411081075346578,14.288620127246775,20.171225426366181,6.121547112813829,5.4596776504701952,30.190904915272746,5.420941239556389,5.0808253328208659,22.734830613427548,9.2031620197237665,8.3079011118034263,29.493012934434272,10.091139467211178,8.7082122461219207
213,145,75,134,76,58,139,231,nan,2.7759645123663033,14.573313877146411,21.315255455218914,6.2453215052807742,5.6043254112998833,30.849119002360563,5.0852442834883043,4.7790169022310893,22.115915628762547,10.63304368514304,9.5464866698713671,29.326333756734265,11.215361180419169,9.6623723321592703
214,152,78,141,78,64,147,287,nan,3.1921713514675907,14.72548874596513,22.09844836851266,6.3176938204445516,5.6915591835841042,31.334967991826804,4.804096424185655,4.5240843951074572,21.592494161429087,11.757556966595251,10.508118239321202,29.038188656385465,12.76470961539559,10.954756711468056
184,152,86,177,84,65,147,286,nan,3.9476727732797903,15.196418892169634,23.922699233356209,6.0770887005451089,5.5192834614002964,32.080327452952361,4.0784968607314385,3.8518401461978606,20.14900982703767,14.100009414931625,12.43807196032156,27.526578845252548,17.004588636010538,14.287928226847388
156,133,79,174,88,66,157,295,nan,4.0520270851522859,15.527985074255749,25.019350353443368,5.8666369222331287,5.3537265072944109,32.345401478942833,3.7461069361884589,3.5415768735386628,19.408639876400379,15.261073604310997,13.33881989640078,26.613376465360066,19.552512409840386,16.182212416016387
148,129,81,178,117,74,153,318,nan,4.0396079003274989,15.656188086124294,26.238098846696605,5.6072149004124325,5.1421525422263485,32.561614182020101,3.4494921632781419,3.2636635652667909,18.099390361701182,17.429992443081819,14.953751834896961,26.155244776879702,20.935259844443991,17.183501912106809
114,132,82,179,128,80,148,287,nan,3.9812936033250588,15.706267730709456,27.45150471681416,5.3005011856201616,4.8836992481699859,32.668094956628984,3.2873857121334371,3.1119593560761372,16.589501803939203,19.356702523569023,16.278574376720819,25.988701702338457,21.509273867284843,17.599088884706262
119,125,77,163,215,78,146,221,nan,3.9188928945848107,15.742099734772605,28.514977560155931,4.9806607871325834,4.6073961354001405,32.7364629774302,3.1820904494277347,3.0133501585337275,15.959206425427565,20.728163914328913,17.270781338531631,25.525889916535451,22.587064847349975,18.310689164417262
125,154,84,163,273,83,145,225,nan,3.8312893941063857,15.811730701826333,29.570048423328984,4.6598411990965722,4.327497063070421,32.769245328553644,3.119532558830787,2.9549103838707427,15.276446389882715,21.703084913192868,17.954879174303237,25.132463341211647,24.417472069381247,19.497668722249141
144,175,84,194,291,82,128,230,nan,3.4966286516918927,16.222756935953893,30.74822033023425,4.3874965772761065,4.0908924549121917,32.738865403121451,3.1176703380487916,2.9530520212172848,14.306380115846954,23.316947088006561,19.048303651088531,24.491003899855667,25.709421411240434,20.297055324907358
145,182,81,226,292,67,115,206,nan,2.1789633146091529,18.003090163843378,33.914904575404236,3.574358562981963,3.3626928372517404,30.811587934305749,5.8735359264483282,5.5146517493127662,13.812911547088978,29.117529014111344,22.214757902350559,23.064588307466689,29.929786724289286,22.353667803760676
135,155,65,288,237,99,152,212,nan,2.1033996261293875,17.867631649080568,34.003364638942962,3.6685180874382488,3.451919089634937,30.147705772333737,6.8025668479922219,6.3665250233328772,13.877231342055982,29.24719247796142,22.27151646185807,23.002789568533561,30.047932678612554,22.376979405648385
111,143,76,269,222,95,163,231,nan,2.0411377869227181,17.672638257288092,34.076013457845576,3.74105811253526,3.5206715855887403,29.12979020833561,8.0638394762054357,7.5037529656556066,13.931735181350428,29.414855254063561,22.355923720035189,22.182179640467819,30.051132204772177,22.336206849643499
122,151,100,224,285,82,146,255,nan,1.991674980242802,17.457173309303595,34.184025147405151,3.791067580924663,3.5689773641205007,27.992351569365553,8.9703329165290668,8.2956302234801775,14.00191378012909,29.589663003829212,22.438404642263428,21.239876882769774,30.045684804181253,22.308201254034749
119,150,119,164,274,65,137,295,nan,1.8385718707648391,17.131358838870582,34.33267754907024,3.943580693891072,3.7147292611186855,25.226477370643465,10.805747352685763,9.8281899759126183,13.997156182169727,29.769490535296868,22.535907394161402,20.286578775972778,30.08941390539071,22.308495790755249
104,121,105,153,193,86,166,283,nan,0.68477470044027378,17.39781580054888,34.345495546743905,4.2330516534696923,3.9858031832568499,17.242286214062528,16.763057629002759,14.429301442713214,13.80054927654141,30.051663068611141,22.69369466065352,34.794881442217267,48.034658882747209,29.857671202788449
106,118,106,151,206,94,169,292,nan,0.11141317330623823,18.14238014008788,33.928808154864335,4.5577863601949726,4.2808924942027513,16.999129221162853,16.992878662360553,14.602866532291655,14.088777340939718,30.256505372469672,22.728361290304864,43.088076723069143,55.197276813283665,32.795411556337307
134,127,102,161,207,100,160,310,nan,1.0812863964041746,18.522350100180322,33.277447416161223,5.0036369899274531,4.6823948709603558,17.24557842854497,38.672941494517602,21.320912610604701,15.204611006145141,30.728001375933843,22.803911524218048,45.844491341360218,57.641019400592093,33.862317486551284
132,147,93,149,201,107,168,268,nan,2.0226288796208118,19.274960279765857,32.38775039666421,5.5583432944470275,5.1758778512793766,28.81370161277485,47.596910843461309,24.086205946990763,17.771719356351717,31.777984246709483,23.091752737587392,46.325589141742462,58.116061970290694,34.095379613491325
147,157,87,142,234,103,156,269,nan,2.5567876318720035,19.878988924464529,31.225337958874171,6.3059521292268323,5.8334057284005736,33.459305020119814,51.343270654042612,29.974688175243624,23.83860412748821,43.672016699743793,30.062895187012298,46.433456035880148,58.182690755118934,34.131582524917668
