Initialized
Press Enter to quit...
Connected
Frame id: 232835, timestamp: 1554657657615974, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 232836, timestamp: 1554657657633298, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 232837, timestamp: 1554657657650605, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 232838, timestamp: 1554657657667951, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 232839, timestamp: 1554657657685338, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 232840, timestamp: 1554657657702652, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 232841, timestamp: 1554657657720020, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 232842, timestamp: 1554657657737337, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 232843, timestamp: 1554657657754681, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 232844, timestamp: 1554657657771959, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 232845, timestamp: 1554657657789376, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 232846, timestamp: 1554657657806707, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 232847, timestamp: 1554657657824004, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 232848, timestamp: 1554657657841393, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 232849, timestamp: 1554657657858725, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 232850, timestamp: 1554657657876119, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 232851, timestamp: 1554657657893373, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 232852, timestamp: 1554657657910753, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 232853, timestamp: 1554657657928049, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 232854, timestamp: 1554657657945446, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 232855, timestamp: 1554657657962792, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 232856, timestamp: 1554657657980105, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 232857, timestamp: 1554657657997470, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 232858, timestamp: 1554657658014869, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 232859, timestamp: 1554657658032107, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 232860, timestamp: 1554657658049546, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 232861, timestamp: 1554657658066828, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 232862, timestamp: 1554657658084142, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 232863, timestamp: 1554657658101598, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 232864, timestamp: 1554657658118955, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 232865, timestamp: 1554657658136242, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 232866, timestamp: 1554657658153500, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 232867, timestamp: 1554657658170960, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 232868, timestamp: 1554657658188252, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 232869, timestamp: 1554657658205629, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 232870, timestamp: 1554657658222958, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 232871, timestamp: 1554657658240302, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 232872, timestamp: 1554657658257629, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 232873, timestamp: 1554657658275011, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 232874, timestamp: 1554657658292331, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 232875, timestamp: 1554657658309731, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 232876, timestamp: 1554657658327075, hands: 0, fingers: 0, tools: 0, gestures: 0
Frame id: 232877, timestamp: 1554657658344416, hands: 0, fingers: 0, tools: 0, gestures: 0
