479,491,236,107,85,97,122,272
396,416,193,104,70,78,103,229
345,379,174,92,68,76,82,190
287,347,164,91,69,67,78,164
244,312,163,94,74,67,66,138
213,304,178,93,72,64,66,117
206,306,202,97,73,57,59,110
204,298,223,101,78,59,55,106
180,288,230,104,83,67,51,92
161,279,248,138,93,69,49,79
159,276,263,239,122,80,57,76
159,282,254,256,128,88,63,78
147,269,235,266,130,85,64,79
147,258,224,276,128,81,71,79
153,240,187,264,118,76,73,78
136,207,140,176,93,60,65,82
115,160,120,145,86,50,62,77
112,148,113,127,77,54,60,73
103,132,94,106,76,58,52,74
93,123,89,86,73,55,48,77
96,118,89,84,65,56,49,72
101,120,86,82,72,55,48,73
108,131,92,78,75,47,48,73
109,135,105,70,76,38,48,72
114,156,122,74,81,41,47,66
122,178,152,79,84,44,48,64
132,204,184,84,90,52,43,64
132,232,204,84,98,62,54,67
145,275,223,82,102,68,54,66
155,298,237,85,103,75,58,73
161,313,238,80,101,78,63,78
164,316,222,75,98,77,66,80
165,302,206,69,89,71,60,78
156,262,184,70,82,63,59,77
139,233,151,67,87,52,55,70
125,191,117,67,88,51,49,68
108,158,102,72,80,56,48,71
106,138,82,73,81,74,50,76
111,140,71,81,93,77,52,81
117,143,74,79,86,79,59,94
125,150,72,78,84,77,68,102
142,170,73,73,84,72,73,105
154,177,83,76,84,53,74,122
165,190,86,67,77,54,74,131
171,183,89,68,78,54,76,133
175,192,96,68,77,57,71,134
176,182,98,70,83,54,69,136
168,176,96,74,81,56,72,120
160,161,93,73,75,53,70,111
155,168,92,71,71,51,63,105
146,152,85,72,70,45,59,99
129,136,77,67,59,41,58,87
117,126,69,58,61,39,50,80
107,124,66,54,61,40,49,73
98,106,59,59,66,41,52,67
91,111,56,63,65,45,51,60
90,109,54,60,65,49,44,59
83,124,55,59,63,45,44,59
74,118,54,63,59,43,44,55
66,118,52,60,53,42,40,49
56,110,51,52,52,39,40,46
46,103,47,54,52,38,41,51
51,83,47,55,54,43,38,49
48,72,46,54,61,44,34,48
47,57,47,51,62,46,37,49
45,46,49,53,65,45,35,45
42,47,49,56,72,45,34,39
37,47,48,52,70,43,37,41
49,78,49,51,70,46,41,47
48,86,52,52,72,43,37,47
98,276,60,51,69,63,43,52
113,345,74,51,62,81,44,59
127,367,80,54,66,85,43,58
126,370,82,54,64,88,40,62
130,381,78,55,62,89,41,63
99,280,73,51,64,83,36,59
82,201,62,45,65,76,38,52
67,158,57,50,76,73,40,55
67,156,57,46,71,73,42,51
57,139,60,44,71,75,43,49
60,140,56,48,72,69,43,48
61,130,54,55,79,62,38,50
59,136,47,50,68,64,37,50
59,134,45,52,75,61,34,47
66,120,44,54,77,59,36,53
76,120,48,60,79,60,43,64
79,126,51,56,70,61,50,66
82,121,56,62,71,60,52,68
83,110,57,66,71,61,60,72
82,104,56,65,69,61,60,72
74,95,56,65,71,61,57,66
77,78,56,66,78,55,54,68
72,75,55,65,75,55,59,67
69,73,54,62,73,50,54,64
68,70,56,64,73,52,52,59
66,68,55,57,69,53,50,58
